lot_area,utilities,land_slope,overall_qual,overall_cond,year_remod_add,exter_cond,bsmt_cond,total_bsmt_sf,gr_liv_area,bedroom_abvgr,kitchen_qual,garage_area,garage_cond,paved_drive,saleprice,got_mas_vnr,got_bsmt,got_fireplaces,got_pool,got_misc,got_alley,got_fence,full_bath_total,half_bath_total,age,num_of_floors,ms_zoning_C (all),ms_zoning_FV,ms_zoning_I (all),ms_zoning_RH,ms_zoning_RL,ms_zoning_RM,street_Pave,alley_NoAlley,alley_Pave,lot_config_CulDSac,lot_config_FR2,lot_config_FR3,lot_config_Inside,neighborhood_Blueste,neighborhood_BrDale,neighborhood_BrkSide,neighborhood_ClearCr,neighborhood_CollgCr,neighborhood_Crawfor,neighborhood_Edwards,neighborhood_Gilbert,neighborhood_Greens,neighborhood_IDOTRR,neighborhood_MeadowV,neighborhood_Mitchel,neighborhood_NAmes,neighborhood_NPkVill,neighborhood_NWAmes,neighborhood_NoRidge,neighborhood_NridgHt,neighborhood_OldTown,neighborhood_SWISU,neighborhood_Sawyer,neighborhood_SawyerW,neighborhood_Somerst,neighborhood_StoneBr,neighborhood_Timber,neighborhood_Veenker,roof_matl_Tar&Grv,roof_matl_WdShake,roof_matl_WdShngl,foundation_CBlock,foundation_PConc,foundation_Slab,foundation_Stone,foundation_Wood,sale_type_CWD,sale_type_Con,sale_type_ConLD,sale_type_ConLI,sale_type_ConLw,sale_type_New,sale_type_Oth,sale_type_WD 
11492,1,2,6,4,1997,2,3,913.0,2122,4,3,559.0,2,2,220000,1,1,1,0,0,0,0,3.0,1.0,13,3,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
7922,1,2,4,6,2007,3,3,1057.0,1057,3,3,246.0,2,2,109000,0,1,0,0,0,0,0,2.0,0.0,57,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
9802,1,2,4,4,2007,2,3,384.0,1444,3,2,400.0,2,2,174000,0,1,0,0,0,0,0,2.0,1.0,4,3,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
14235,1,2,5,7,1993,2,4,676.0,1445,3,2,484.0,2,0,138500,0,1,0,0,0,0,0,2.0,0.0,110,2,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
16492,1,2,5,5,2002,2,3,1517.0,1888,2,3,578.0,2,2,190000,0,1,1,0,0,0,0,2.0,1.0,44,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
3675,1,2,5,4,2006,2,3,547.0,1072,2,2,525.0,2,2,140000,1,1,0,0,0,0,0,3.0,0.0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
11606,1,0,4,4,1969,2,3,1040.0,2080,5,1,504.0,2,2,135000,1,1,1,0,0,0,0,1.0,3.0,38,3,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1680,1,2,5,4,1971,2,3,483.0,987,2,2,264.0,2,2,85400,1,1,0,0,0,0,0,1.0,1.0,37,3,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7488,1,2,6,4,2005,2,3,1208.0,1208,2,3,632.0,2,2,183600,0,1,0,0,0,0,0,2.0,0.0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2645,1,2,7,4,2000,2,3,960.0,1607,3,3,480.0,2,2,200000,1,1,0,0,0,1,0,3.0,1.0,9,3,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
9627,1,2,6,4,2007,2,3,1351.0,1361,3,3,610.0,2,2,193000,0,1,0,0,0,0,0,2.0,0.0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10114,1,2,4,4,2005,2,3,1430.0,1430,3,3,624.0,2,2,173500,0,1,0,0,0,0,0,2.0,0.0,6,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
4571,1,2,4,4,1950,2,3,624.0,1344,4,2,513.0,1,2,98000,0,1,0,0,0,1,0,1.0,0.0,92,3,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8816,1,2,4,5,1963,2,3,1121.0,1121,3,2,480.0,2,2,139000,0,1,0,0,0,0,1,2.0,0.0,46,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
